372,Taylor,Momsen,Actress,How the Grinch Stole Christmas,87,9
373,Emmanuel,Lubezki,Cinematographer,Gravity,87,9
374,Vin,Diesel,Actor,Fast & Furious 6,87,9
375,Rhona,Mitra,Actress,Shooter,87,9
376,Grant,Gustin,Actor,Flash vs. Arrow,87,9
377,Michael,Sheen,Actor,Kingdom of Heaven,87,9
378,Katherine,Heigl,Actress,Knocked Up,87,9
379,Olga,Kurylenko,Actress,Quantum of Solace,87,9
380,Matthew,Perry,Actor,The Whole Nine Yards,87,9
381,Christoph,Waltz,Actor,Django Unchained,87,9
382,Josh,Duhamel,Actor,Transformers,87,9
383,Thomas,Jane,Actor,The Mist,87,9
384,Dianna,Agron,Actress,I Am Number Four,87,9
385,Sam,Heughan,Actor,A Princess for Christmas,87,9
386,Hailee,Steinfeld,Actress,True Grit,87,9
387,Kit,Harington,Actor,Pompeii,87,9
388,Elisha,Cuthbert,Actress,The Girl Next Door,87,9
389,Paul,Walker,Actor,The Fast and the Furious,87,9
390,Carey,Mulligan,Actress,Drive,87,9
391,James,D'Arcy,Actor,Master and Commander: The Far Side of the World,87,9
392,Alyson,Stoner,Actress,Cheaper by the Dozen,87,9
393,Marlon,Brando,Actor,The Godfather,87,9
394,Denise,Richards,Actress,Starship Troopers,87,9
395,Kristin,Davis,Actress,Sex and the City,87,9
396,Eloise,Mumford,Actress,Fifty Shades of Grey,87,9
397,Ryan,Dorsey,Actor,Unspoken,87,9
398,Isabel,Lucas,Actress,Transformers: Revenge of the Fallen,87,9
399,Katrina,Law,Actress,Snow Bride,87,9
400,Isla,Fisher,Actress,Now You See Me,87,9
401,Jonah,Hill,Actor,21 Jump Street,86,9
402,Evan Rachel,Wood,Actress,The Wrestler,86,9
403,Zach,Galifianakis,Actor,The Hangover,86,9
404,Charlie,Weber,Actor,Gacy,86,9
405,Amanda,Schull,Actress,Center Stage,86,9
406,Laura,Dern,Actress,Jurassic Park,86,9
407,Taylor,Dooley,Actress,The Adventures of Sharkboy and Lavagirl 3-D,86,9
408,Freddie,Highmore,Actor,Charlie and the Chocolate Factory,86,9
409,Jeremy,Renner,Actor,The Hurt Locker,86,9
410,Gwendoline,Christie,Actress,The Zero Theorem,86,9
411,Brandon,Routh,Actor,Superman Returns,86,9
412,Sigourney,Weaver,Actress,Aliens,86,9
413,Dan,Stevens,Actor,The Fifth Estate,86,9
414,Jack,Nicholson,Actor,The Shining,86,9
415,Lucy,Lawless,Actress,Spider-Man,86,9
416,Clive,Standen,Actor,Hammer of the Gods,86,9
417,Hayden,Panettiere,Actress,Racing Stripes,86,9
418,Laurie,Holden,Actress,Better Angels,86,9
419,Jack,O'Connell,Actor,Unbroken,86,9
420,Robert,Pattinson,Actor,Twilight,86,9
421,Jessica,Lange,Actress,Big Fish,86,9
422,David,Tennant,Actor,Harry Potter and the Goblet of Fire,86,9
424,Joelle,Carter,Actress,High Fidelity,86,9
425,Winona,Ryder,Actress,Edward Scissorhands,86,9
426,Sasha,Pieterse,Actress,Good Luck Chuck,86,9
427,Tricia,Helfer,Actress,Green Lantern: First Flight,86,9
428,Milla,Jovovich,Actress,The Fifth Element,86,9
429,Paula,Patton,Actress,Mission: Impossible - Ghost Protocol,86,9
430,Nathan,Fillion,Actor,Serenity,86,9
431,William,Shatner,Actor,Star Trek II: The Wrath of Khan,86,9
432,Marisa,Tomei,Actress,The Wrestler,86,9
434,James,Norton,Actor,Rush,86,9
435,Michelle,Pfeiffer,Actress,Scarface,86,9
436,Alice,Eve,Actress,Star Trek Into Darkness,86,9
437,Megan,Boone,Actress,My Bloody Valentine,86,9
438,John,Cusack,Actor,Being John Malkovich,86,9
439,Bryce Dallas,Howard,Actress,The Help,86,9
440,Leslie,Bibb,Actress,Iron Man,86,9
441,Alicia,Witt,Actress,Two Weeks Notice,86,9
442,Camren,Bicondova,Actress,Pilot,86,9
443,Taylor,Schilling,Actress,The Lucky One,86,9
444,Robert,Duvall,Actor,The Godfather: Part II,86,9
445,Julia,Stiles,Actress,The Bourne Ultimatum,86,9
446,James Van Der,Beek,Actor,Castle in the Sky,86,9
447,Zooey,Deschanel,Actress,Elf,86,9
448,Sarah,Rafferty,Actress,Not Just a Pretty Face,86,9
449,Ruth,Wilson,Actress,The Lone Ranger,86,9
450,Ryan,Guzman,Actor,Step Up All In,86,9
451,Jennifer,Morrison,Actress,Warrior,86,9
452,Terrence,Howard,Actor,Iron Man,86,9
453,Taylor,Lautner,Actor,The Twilight Saga: Breaking Dawn - Part 1,86,9
454,Sarah,Snook,Actress,Predestination,86,9
455,Mayim,Bialik,Actress,Beaches,86,9
456,Audrey,Hepburn,Actress,Breakfast at Tiffany's,86,9
457,Rosanna,Arquette,Actress,Pulp Fiction,86,9
458,Jensen,Ackles,Actor,My Bloody Valentine,86,9
459,Mena,Suvari,Actress,American Beauty,86,9
461,RJ,Mitte,Actor,Ozymandias,86,9
462,Liana,Liberato,Actress,If I Stay,86,9
463,Kirsten,Dunst,Actress,Spider-Man,86,9
464,Hilary,Duff,Actress,A Cinderella Story,86,9
465,Christopher,Plummer,Actor,Up,86,9
466,Sophia,Bush,Actress,The Hitcher,86,9
467,Sean,Astin,Actor,The Lord of the Rings: The Two Towers,86,9
468,Krysten,Ritter,Actress,Confessions of a Shopaholic,86,9
469,River,Phoenix,Actor,Stand by Me,86,9
470,Selena,Gomez,Actress,Spring Breakers,86,9
471,Ariana,Grande,Actress,Snowflake,86,9
472,David,Fincher,Director,Fight Club,86,9
473,Daniel,Day-Lewis,Actor,There Will Be Blood,86,9
474,Connie,Nielsen,Actress,Gladiator,86,9
475,Ryan,Phillippe,Actor,Flags of Our Fathers,86,9
476,Scott,Adsit,Actor,Big Hero 6,86,9
477,Neill,Blomkamp,Director,District 9,86,9
478,George,Clooney,Actor,Gravity,86,9
479,James,McAvoy,Actor,X-Men: First Class,86,9
480,Martin,Scorsese,Producer,The Wolf of Wall Street,86,9
481,Taissa,Farmiga,Actress,The Bling Ring,86,9
482,Richard,Armitage,Actor,The Hobbit: An Unexpected Journey,86,9
483,Ginnifer,Goodwin,Actress,Walk the Line,86,9
484,Julia,Roberts,Actress,Notting Hill,86,9
485,Leslie,Mann,Actress,Knocked Up,86,9
486,Kathleen,Turner,Actress,The Virgin Suicides,86,9
487,Cam,Gigandet,Actor,Easy A,86,9
488,Keri,Russell,Actress,Dawn of the Planet of the Apes,86,9
489,James,Rebhorn,Actor,Scent of a Woman,86,9
490,January,Jones,Actress,The Chrysanthemum and the Sword,86,9
491,David,Schwimmer,Actor,Madagascar,86,9
492,Nikolaj,Coster-Waldau,Actor,Oblivion,86,9
493,Cillian,Murphy,Actor,Inception,86,9
494,Jennifer,Garner,Actress,Dallas Buyers Club,86,9
495,Thomas,Lennon,Writer,Night at the Museum,86,9
496,Ewan,McGregor,Actor,Trainspotting,86,9
497,Matthew,Vaughn,Producer,Kick-Ass,86,9
498,Adam,Scott,Actor,The Secret Life of Walter Mitty,86,9
499,Julie Ann,Emery,Actress,Hitch,86,9
500,Emily,Browning,Actress,Sucker Punch,86,9
501,Ron,Perlman,Actor,Hellboy,85,9
502,Ben,Stiller,Producer,Zoolander,85,9
503,Chandler,Riggs,Actor,Remember,85,9
504,Sarah,Shahi,Actress,Old School,85,9
505,Meg,Ryan,Actress,Sleepless in Seattle,85,9
506,Pauley,Perrette,Actress,Kill Ari: Part 1,85,9
507,Skyler,Samuels,Actress,The DUFF,85,9
508,Mickey,Rourke,Actor,The Wrestler,85,9
509,Lindsay,Sloane,Actress,Horrible Bosses,85,9
510,Mia,Wasikowska,Actress,Alice in Wonderland,85,9
511,Ali,Larter,Actress,Final Destination,85,9
512,Luke,Grimes,Actor,Taken 2,85,9
513,Summer,Glau,Actress,Serenity,85,9
514,Nicholas,Hoult,Actor,Warm Bodies,85,9
515,Katharine,McPhee,Actress,The House Bunny,85,9
516,James,Cromwell,Actor,The Green Mile,85,9
517,Richard,Gere,Actor,Pretty Woman,85,9
518,Wilson,Bethel,Actor,Inherent Vice,85,9
519,Jessica Parker,Kennedy,Actress,50/50,85,9
520,Sam,Taylor-Johnson,Director,Fifty Shades of Grey,85,9
521,Jonathan,Groff,Actor,Frozen,85,9
522,Bryshere Y.,Gray,Actor,Unto the Breach,85,9
523,Anna,Paquin,Actress,The Piano,85,9
